"Tabla","Filas","Columnas","ClavePrimaria"
"UTablasAuxiliaresCampos","0","8","nLinea"
"UTablasAuxiliares","0","3","NombreTabla"
"UTablasAuxiliaresEnlaces","0","8","nLinea"
"UTallCargaVALB","0","9","Numero"
"UTallCargaLineaVALB","0","6","nLin"
"VDocCosteSelProvArticulo","0","6","TipoDoc|nDoc|Articulo|Acabado|AcaTonalidad"
"USoldCodigoSoldEsp","0","3","Articulo|Tipo"
"UProduccionSecciones","0","3","codigo"
"USoldSTBcodigoAca","0","4","Acabado"
"UsuariosPermisosDelegaciones","0","6","Usuario|Delegacion"
"VDocCosteSelProvSubfamilia","0","5","TipoDoc|nDoc|Familia|Subfamilia"
"UTallCortes","0","9","TipoDoc|nDoc|CodArt|CodAca|AcaTonalidad|LargoCorte|TipoCorte"
"UTallContenedoresTipos","0","2","Codigo"
"UTallCPFincidencias","0","20","nLinea"
"UTallDocumentosAsignados","0","5","TipoDoc|NumeroDocumento|Fase"
"UTallCPFVariables","0","14","nLinea"
"UTallContenedoresLinLote","0","11","nLin"
"UTallConsumoExtra","0","14","nLin"
"UTallConfig","0","5",""
"UTallContenedores","0","19","NumeroContenedor"
"VDibujos","0","5","nLinea"
"UTallContenedoresLin","0","10","nLin"
"VActStock","0","44","nLinea"
"VCobrosLiquidacionesTarjetaCobros","0","10","nLiquidacion|VCobContador"
"VCobrosLiquidacionesTarjeta","0","29","Numero"
"VComisionesFac","0","8","nLinea"
"VComLiquidaciones","0","12","Numero"
"VComLiqMinimoBase","0","9","nLinea"
"VCobrosLiquidacionesCobros","0","10","nLiquidacion|nEfecto"
"VCPFincidenciasOrigenDoc","0","3","nIncidencia|TipoDoc|NumeroDoc"
"VCobros","0","53","contador"
"VCobrosACta","0","29","nLin"
"VCobrosLiquidaciones","0","11","Numero"
"VCobrosAnticipos","0","20",""
"VCPFcausas","0","2","Codigo"
"VCPFincidenciasAuto","0","8","nLinea"
"VCPFincidencias","0","52","Numero"
"VCPFincidenciasAccionesCorrRevisiones","0","6","nLinea"
"VCPFincidenciasAccionesCorr","0","8","nLinea"
"VCoste","0","4","TipoDoc|nDoc|Familia"
"VCompFinfoM2","0","6","TipoDoc|nDoc|nLinEstr"
"VComLiquidacionesLin","0","12","nLinea"
"VCompFpanyos","0","43","TipoDoc|nDoc|nLinEstr|nPanyo"
"VCopiaTmp","0","3","TipoDoc|nDocOrig"
"VCPFincidenciasHistorial","0","8","nLinea"
"VClienteRiesgoTmp","0","15","Cliente|Delegacion|Serie"
"VAlbaranesUTTEtiqMan","0","3","idAlbaran|idPedidoOrig"
"VAlbaranesLinImpuestos","0","10","nVLinea|CodigoImpuesto"
"VCPFmaquinasArticulos","0","4","Maquina|Articulo"
"VAutorizaCondicional","0","14","nLinea"
"VAlbTrab","0","11","Id"
"VCPFmaquinasRegistro","0","10","nLinea"
"VActStockDimensionMin","0","4","Articulo|Acabado"
"VActStockBultosFabr","0","6","nLinea"
"VCPFmaquinasRevisiones","0","6","nLinea"
